otu	phylum
OTU84	Proteobacteria
OTU85	Actinobacteria
OTU86	Proteobacteria
OTU87	Acidobacteria
OTU88	Actinobacteria
OTU89	Proteobacteria
OTU90	Proteobacteria
OTU91	Actinobacteria
OTU92	Acidobacteria
OTU93	Actinobacteria
OTU94	Chloroflexi
OTU95	Actinobacteria
OTU96	Proteobacteria
OTU97	Proteobacteria
OTU98	Actinobacteria
OTU99	Actinobacteria
OTU100	Proteobacteria
OTU101	Actinobacteria
OTU102	Proteobacteria
OTU103	Chloroflexi
OTU104	Chloroflexi
OTU105	Chloroflexi
OTU106	Proteobacteria
OTU107	Chloroflexi
OTU108	Proteobacteria
OTU109	Chloroflexi
OTU110	Proteobacteria
OTU111	Thaumarchaeota
OTU112	Verrucomicrobia
OTU113	Proteobacteria
OTU114	Actinobacteria
OTU115	Proteobacteria
OTU116	Actinobacteria
OTU117	Actinobacteria
OTU118	Proteobacteria
OTU119	Nitrospirae
OTU120	Proteobacteria
OTU121	Actinobacteria
OTU122	Proteobacteria
OTU123	Actinobacteria
OTU124	Proteobacteria
OTU125	Proteobacteria
OTU126	Gemmatimonadetes
OTU127	Actinobacteria
OTU128	Actinobacteria
OTU129	Chloroflexi
OTU130	Chloroflexi
OTU131	Proteobacteria
OTU132	Acidobacteria
OTU133	Acidobacteria
OTU134	Acidobacteria
OTU135	Proteobacteria
OTU136	Proteobacteria
OTU137	Proteobacteria
OTU138	Proteobacteria
OTU139	Proteobacteria
OTU140	Proteobacteria
OTU141	Actinobacteria
OTU142	Proteobacteria
OTU143	Actinobacteria
OTU144	Firmicutes
OTU145	Proteobacteria
OTU146	Proteobacteria
OTU147	Actinobacteria
OTU148	Proteobacteria
OTU149	Proteobacteria
OTU150	Actinobacteria
OTU151	Actinobacteria
OTU152	Proteobacteria
OTU153	Proteobacteria
OTU154	Actinobacteria
OTU155	Proteobacteria
OTU156	Firmicutes
OTU157	Chloroflexi
OTU158	Proteobacteria
OTU159	Chloroflexi
OTU160	Proteobacteria
OTU161	Proteobacteria
OTU162	Actinobacteria
OTU163	Proteobacteria
OTU164	Actinobacteria
OTU165	Actinobacteria
OTU166	Firmicutes
OTU167	Chloroflexi
OTU168	Chloroflexi
OTU169	Proteobacteria
OTU170	Acidobacteria
OTU171	Acidobacteria
OTU172	Acidobacteria
OTU173	Chloroflexi
OTU174	Chloroflexi
OTU175	Acidobacteria
OTU176	Proteobacteria
OTU177	Proteobacteria
OTU178	Proteobacteria
OTU179	Actinobacteria
OTU180	Acidobacteria
OTU181	Firmicutes
OTU182	Actinobacteria
OTU183	Thaumarchaeota
OTU184	Chloroflexi
OTU185	Chloroflexi
OTU186	Chloroflexi
OTU187	Actinobacteria
OTU188	Chloroflexi
OTU189	Actinobacteria
OTU190	Actinobacteria
OTU191	Proteobacteria
OTU192	Actinobacteria
OTU193	Actinobacteria
OTU194	Thaumarchaeota
OTU195	Chloroflexi
OTU196	Actinobacteria
OTU197	Actinobacteria
OTU198	Proteobacteria
OTU199	Chloroflexi
OTU200	Proteobacteria
OTU201	Actinobacteria
OTU202	Actinobacteria
OTU203	Proteobacteria
OTU204	Actinobacteria
OTU205	Proteobacteria
OTU206	Actinobacteria
OTU207	Actinobacteria
OTU208	Acidobacteria
OTU209	Chloroflexi
OTU210	Actinobacteria
OTU211	Proteobacteria
OTU212	Firmicutes
OTU213	Proteobacteria
OTU214	Proteobacteria
OTU215	Proteobacteria
OTU216	Proteobacteria
OTU217	Proteobacteria
OTU218	Actinobacteria
OTU219	Firmicutes
OTU220	Verrucomicrobia
OTU221	Proteobacteria
OTU222	Proteobacteria
OTU223	Chloroflexi
OTU224	Proteobacteria
OTU225	Actinobacteria
OTU226	Proteobacteria
OTU227	Actinobacteria
OTU228	Proteobacteria
OTU229	Chloroflexi
OTU230	Proteobacteria
OTU231	Actinobacteria
OTU232	Bacteroidetes
OTU233	Proteobacteria
OTU234	Actinobacteria
OTU235	Actinobacteria
OTU236	Actinobacteria
OTU237	Actinobacteria
OTU238	Verrucomicrobia
OTU239	Nitrospirae
OTU240	Actinobacteria
OTU241	Acidobacteria
OTU242	Actinobacteria
OTU243	Chloroflexi
OTU244	Proteobacteria
OTU245	Chloroflexi
OTU246	Acidobacteria
OTU247	Proteobacteria
OTU248	Actinobacteria
OTU249	
OTU250	Actinobacteria
OTU251	Actinobacteria
OTU252	Bacteroidetes
OTU253	Firmicutes
OTU254	Proteobacteria
OTU255	Thaumarchaeota
OTU256	Proteobacteria
OTU257	Firmicutes
OTU258	Actinobacteria
OTU259	Actinobacteria
OTU260	Proteobacteria
OTU261	Thaumarchaeota
OTU262	Acidobacteria
OTU263	Proteobacteria
OTU264	Proteobacteria
OTU265	Thaumarchaeota
OTU266	Bacteroidetes
OTU267	Actinobacteria
OTU268	Bacteroidetes
OTU269	Acidobacteria
OTU270	Actinobacteria
OTU271	Proteobacteria
OTU272	Proteobacteria
OTU273	Actinobacteria
OTU274	Actinobacteria
OTU275	Chloroflexi
OTU276	Gemmatimonadetes
OTU277	Chloroflexi
OTU278	Proteobacteria
OTU279	Proteobacteria
OTU280	Proteobacteria
OTU281	Proteobacteria
