otu	phylum
OTU247	Proteobacteria
OTU248	Actinobacteria
OTU249	Chloroflexi
OTU250	Actinobacteria
OTU251	Actinobacteria
OTU252	Bacteroidetes
OTU253	Firmicutes
OTU254	Proteobacteria
OTU255	Crenarchaeota
OTU256	Proteobacteria
OTU257	Firmicutes
OTU258	Actinobacteria
OTU259	Actinobacteria
OTU260	Proteobacteria
OTU261	Crenarchaeota
OTU262	Acidobacteria
OTU263	Proteobacteria
OTU264	Proteobacteria
OTU265	Crenarchaeota
OTU266	Bacteroidetes
OTU267	Actinobacteria
OTU268	Bacteroidetes
OTU269	Acidobacteria
OTU270	Actinobacteria
OTU271	Proteobacteria
OTU272	Proteobacteria
OTU273	Actinobacteria
OTU274	Actinobacteria
OTU275	Chloroflexi
OTU276	Gemmatimonadetes
OTU277	Chloroflexi
OTU278	Proteobacteria
OTU279	Proteobacteria
OTU280	Proteobacteria
OTU281	Proteobacteria
OTU282	Bacteroidetes
OTU283	Proteobacteria
OTU284	Actinobacteria
OTU285	Gemmatimonadetes
OTU286	Gemmatimonadetes
OTU287	Actinobacteria
OTU288	Acidobacteria
OTU289	Actinobacteria
OTU290	Firmicutes
OTU291	Chloroflexi
OTU292	Chloroflexi
OTU293	Proteobacteria
OTU294	Proteobacteria
OTU295	Actinobacteria
OTU296	Proteobacteria
OTU297	Chloroflexi
OTU298	Chloroflexi
OTU299	Bacteroidetes
OTU300	Chloroflexi
OTU301	Proteobacteria
OTU302	Proteobacteria
OTU303	Proteobacteria
OTU304	Actinobacteria
OTU305	Proteobacteria
OTU306	Chloroflexi
OTU307	Chloroflexi
OTU308	Gemmatimonadetes
OTU309	Crenarchaeota
OTU310	Gemmatimonadetes
OTU311	Proteobacteria
OTU312	Gemmatimonadetes
OTU313	Proteobacteria
OTU314	Acidobacteria
OTU315	Planctomycetes
OTU316	Chloroflexi
OTU317	Actinobacteria
OTU318	Acidobacteria
OTU319	Actinobacteria
OTU320	Proteobacteria
OTU321	Actinobacteria
OTU322	Planctomycetes
OTU323	Proteobacteria
OTU324	Proteobacteria
OTU325	AD3
OTU326	Actinobacteria
OTU327	Proteobacteria
OTU328	Actinobacteria
OTU329	Gemmatimonadetes
OTU330	Gemmatimonadetes
OTU331	Proteobacteria
OTU332	Actinobacteria
OTU333	Acidobacteria
OTU334	Acidobacteria
OTU335	Proteobacteria
OTU336	Firmicutes
OTU337	Actinobacteria
OTU338	Actinobacteria
OTU339	Planctomycetes
OTU340	Proteobacteria
OTU341	Proteobacteria
OTU342	Proteobacteria
OTU343	Proteobacteria
OTU344	Proteobacteria
OTU345	Actinobacteria
OTU346	Actinobacteria
OTU347	Firmicutes
OTU348	Proteobacteria
OTU349	Gemmatimonadetes
OTU350	Nitrospirae
OTU351	Actinobacteria
OTU352	Acidobacteria
OTU353	Actinobacteria
OTU354	Gemmatimonadetes
OTU355	AD3
OTU356	Proteobacteria
OTU357	Actinobacteria
OTU358	Proteobacteria
OTU359	Actinobacteria
OTU360	Actinobacteria
OTU361	Proteobacteria
OTU362	Actinobacteria
OTU363	Actinobacteria
OTU364	Bacteroidetes
OTU365	Chloroflexi
OTU366	Proteobacteria
OTU367	Actinobacteria
OTU368	Proteobacteria
OTU369	Proteobacteria
OTU370	Acidobacteria
OTU371	Firmicutes
OTU372	Proteobacteria
OTU373	Proteobacteria
OTU374	Proteobacteria
OTU375	Acidobacteria
OTU376	Chloroflexi
OTU377	Acidobacteria
OTU378	Actinobacteria
OTU379	Actinobacteria
OTU380	Acidobacteria
OTU381	Verrucomicrobia
OTU382	Proteobacteria
OTU383	Armatimonadetes
OTU384	Actinobacteria
OTU385	Crenarchaeota
OTU386	Proteobacteria
OTU387	Actinobacteria
OTU388	Chloroflexi
OTU389	Actinobacteria
OTU390	Acidobacteria
OTU391	Proteobacteria
OTU392	Actinobacteria
OTU393	Chloroflexi
OTU394	Acidobacteria
OTU395	Proteobacteria
OTU396	Gemmatimonadetes
OTU397	Actinobacteria
OTU398	Proteobacteria
OTU399	Proteobacteria
OTU400	Proteobacteria
OTU401	Gemmatimonadetes
OTU402	Chloroflexi
OTU403	Proteobacteria
OTU404	Proteobacteria
OTU405	Proteobacteria
OTU406	Gemmatimonadetes
OTU407	Actinobacteria
OTU408	Actinobacteria
OTU409	Gemmatimonadetes
OTU410	Actinobacteria
OTU411	Actinobacteria
OTU412	Proteobacteria
OTU413	Planctomycetes
OTU414	Proteobacteria
OTU415	Proteobacteria
OTU416	Planctomycetes
OTU417	Actinobacteria
OTU418	Proteobacteria
OTU419	
OTU420	Actinobacteria
OTU421	Proteobacteria
OTU422	Actinobacteria
OTU423	Proteobacteria
OTU424	Proteobacteria
OTU425	Gemmatimonadetes
OTU426	Planctomycetes
OTU427	Crenarchaeota
OTU428	Proteobacteria
OTU429	Firmicutes
OTU430	Acidobacteria
OTU431	Gemmatimonadetes
OTU432	Proteobacteria
OTU433	Proteobacteria
OTU434	Proteobacteria
OTU435	Actinobacteria
OTU436	Actinobacteria
OTU437	Acidobacteria
OTU438	Actinobacteria
OTU439	Actinobacteria
OTU440	Actinobacteria
OTU441	Firmicutes
OTU442	Proteobacteria
OTU443	Actinobacteria
OTU444	Chloroflexi
OTU445	Gemmatimonadetes
OTU446	Actinobacteria
OTU447	Acidobacteria
OTU448	Acidobacteria
OTU449	Proteobacteria
OTU450	Proteobacteria
OTU451	TM7
OTU452	Acidobacteria
OTU453	Actinobacteria
OTU454	Proteobacteria
OTU455	Proteobacteria
OTU456	AD3
OTU457	Actinobacteria
OTU458	Actinobacteria
OTU459	Actinobacteria
OTU460	Proteobacteria
OTU461	Acidobacteria
OTU462	
OTU463	Proteobacteria
OTU464	Acidobacteria
OTU465	Proteobacteria
OTU466	Firmicutes
OTU467	Proteobacteria
OTU468	Actinobacteria
OTU469	Acidobacteria
OTU470	Proteobacteria
OTU471	Crenarchaeota
OTU472	Proteobacteria
OTU473	Acidobacteria
OTU474	Actinobacteria
OTU475	Proteobacteria
OTU476	Actinobacteria
OTU477	Actinobacteria
OTU478	Actinobacteria
OTU479	Acidobacteria
OTU480	Actinobacteria
OTU481	Gemmatimonadetes
OTU482	Proteobacteria
OTU483	Actinobacteria
OTU484	Proteobacteria
OTU485	Actinobacteria
OTU486	Proteobacteria
OTU487	Proteobacteria
OTU488	Chloroflexi
OTU489	Planctomycetes
OTU490	Acidobacteria
OTU491	Actinobacteria
OTU492	Gemmatimonadetes
OTU493	Proteobacteria
OTU494	WPS-2
OTU495	Acidobacteria
OTU496	Actinobacteria
OTU497	Proteobacteria
OTU498	Actinobacteria
OTU499	Actinobacteria
OTU500	Proteobacteria
OTU501	Bacteroidetes
OTU502	Actinobacteria
OTU503	Acidobacteria
OTU504	Actinobacteria
OTU505	Acidobacteria
OTU506	[Thermi]
OTU507	Proteobacteria
OTU508	Actinobacteria
OTU509	Proteobacteria
OTU510	Proteobacteria
OTU511	Chloroflexi
OTU512	Gemmatimonadetes
OTU513	Gemmatimonadetes
OTU514	Bacteroidetes
OTU515	Crenarchaeota
OTU516	Proteobacteria
OTU517	Chloroflexi
OTU518	Proteobacteria
OTU519	AD3
OTU520	Chloroflexi
OTU521	Acidobacteria
OTU522	Verrucomicrobia
OTU523	Gemmatimonadetes
OTU524	Acidobacteria
OTU525	Chloroflexi
OTU526	Proteobacteria
OTU527	Actinobacteria
OTU528	Actinobacteria
OTU529	Proteobacteria
OTU530	Chloroflexi
OTU531	Actinobacteria
OTU532	Acidobacteria
OTU533	Proteobacteria
OTU534	Chloroflexi
OTU535	Proteobacteria
OTU536	Chloroflexi
OTU537	Proteobacteria
OTU538	Proteobacteria
OTU539	Verrucomicrobia
OTU540	Actinobacteria
OTU541	Proteobacteria
OTU542	Chloroflexi
OTU543	Proteobacteria
OTU544	Actinobacteria
OTU545	Actinobacteria
OTU546	Actinobacteria
OTU547	Actinobacteria
OTU548	Actinobacteria
OTU549	Proteobacteria
OTU550	Proteobacteria
OTU551	Actinobacteria
OTU552	Chloroflexi
OTU553	Proteobacteria
OTU554	Bacteroidetes
OTU555	Firmicutes
OTU556	Proteobacteria
OTU557	AD3
OTU558	Chloroflexi
OTU559	Proteobacteria
OTU560	Actinobacteria
OTU561	Actinobacteria
OTU562	Actinobacteria
OTU563	Gemmatimonadetes
OTU564	Chloroflexi
OTU565	Chloroflexi
OTU566	Proteobacteria
OTU567	Bacteroidetes
OTU568	Chloroflexi
OTU569	Acidobacteria
OTU570	Gemmatimonadetes
OTU571	Proteobacteria
OTU572	Proteobacteria
OTU573	Actinobacteria
OTU574	Chloroflexi
OTU575	Proteobacteria
OTU576	Proteobacteria
OTU577	Gemmatimonadetes
OTU578	Proteobacteria
OTU579	Actinobacteria
OTU580	Actinobacteria
OTU581	Acidobacteria
OTU582	Acidobacteria
OTU583	Bacteroidetes
OTU584	Chloroflexi
OTU585	Actinobacteria
OTU586	Proteobacteria
OTU587	Actinobacteria
OTU588	Actinobacteria
OTU589	Proteobacteria
OTU590	Actinobacteria
OTU591	Chloroflexi
OTU592	Actinobacteria
OTU593	Actinobacteria
OTU594	Actinobacteria
OTU595	Proteobacteria
OTU596	Armatimonadetes
OTU597	AD3
OTU598	Chloroflexi
OTU599	Proteobacteria
OTU600	Chloroflexi
OTU601	Acidobacteria
OTU602	Gemmatimonadetes
OTU603	Proteobacteria
OTU604	Actinobacteria
OTU605	Actinobacteria
OTU606	Acidobacteria
OTU607	Firmicutes
OTU608	Chloroflexi
OTU609	Actinobacteria
OTU610	Proteobacteria
OTU611	Actinobacteria
OTU612	Gemmatimonadetes
OTU613	Planctomycetes
OTU614	Proteobacteria
OTU615	Proteobacteria
OTU616	Actinobacteria
OTU617	Proteobacteria
OTU618	Actinobacteria
OTU619	Chloroflexi
OTU620	Chloroflexi
OTU621	Nitrospirae
OTU622	Proteobacteria
OTU623	Actinobacteria
OTU624	Armatimonadetes
OTU625	Actinobacteria
OTU626	Chloroflexi
OTU627	Planctomycetes
OTU628	Acidobacteria
OTU629	Gemmatimonadetes
OTU630	Proteobacteria
OTU631	Actinobacteria
OTU632	Proteobacteria
OTU633	Actinobacteria
OTU634	Actinobacteria
OTU635	Proteobacteria
OTU636	Proteobacteria
OTU637	Proteobacteria
OTU638	Actinobacteria
OTU639	Acidobacteria
OTU640	Acidobacteria
OTU641	Proteobacteria
OTU642	Firmicutes
OTU643	Planctomycetes
OTU644	Actinobacteria
OTU645	Actinobacteria
OTU646	Chloroflexi
OTU647	Acidobacteria
OTU648	Proteobacteria
OTU649	Proteobacteria
OTU650	Actinobacteria
OTU651	Actinobacteria
OTU652	Proteobacteria
OTU653	Acidobacteria
OTU654	Chloroflexi
OTU655	Actinobacteria
OTU656	Proteobacteria
OTU657	Proteobacteria
OTU658	Proteobacteria
OTU659	Actinobacteria
OTU660	Proteobacteria
OTU661	Actinobacteria
OTU662	Actinobacteria
OTU663	Chloroflexi
OTU664	Gemmatimonadetes
OTU665	Gemmatimonadetes
OTU666	Proteobacteria
OTU667	Chloroflexi
OTU668	Actinobacteria
OTU669	Actinobacteria
OTU670	Actinobacteria
OTU671	Proteobacteria
OTU672	Proteobacteria
OTU673	Actinobacteria
OTU674	Proteobacteria
OTU675	Proteobacteria
OTU676	Gemmatimonadetes
OTU677	Actinobacteria
OTU678	Proteobacteria
OTU679	Actinobacteria
OTU680	Chloroflexi
OTU681	Gemmatimonadetes
OTU682	Proteobacteria
OTU683	Proteobacteria
OTU684	Acidobacteria
OTU685	Actinobacteria
OTU686	TM7
OTU687	Gemmatimonadetes
OTU688	Actinobacteria
OTU689	Bacteroidetes
OTU690	Proteobacteria
OTU691	Actinobacteria
OTU692	Acidobacteria
OTU693	Actinobacteria
OTU694	Actinobacteria
OTU695	Acidobacteria
OTU696	Bacteroidetes
OTU697	Proteobacteria
OTU698	Actinobacteria
OTU699	Proteobacteria
OTU700	Actinobacteria
OTU701	Chloroflexi
OTU702	Actinobacteria
OTU703	AD3
OTU704	Proteobacteria
OTU705	Chloroflexi
OTU706	Actinobacteria
OTU707	Chloroflexi
OTU708	Proteobacteria
OTU709	Chloroflexi
OTU710	Proteobacteria
OTU711	Proteobacteria
OTU712	Euryarchaeota
OTU713	Acidobacteria
OTU714	Acidobacteria
OTU715	Proteobacteria
OTU716	Proteobacteria
OTU717	Proteobacteria
OTU718	Proteobacteria
OTU719	Proteobacteria
OTU720	Chloroflexi
OTU721	Actinobacteria
OTU722	Proteobacteria
OTU723	Actinobacteria
OTU724	Chloroflexi
OTU725	Crenarchaeota
OTU726	Actinobacteria
OTU727	Actinobacteria
OTU728	Proteobacteria
OTU729	Chloroflexi
OTU730	Proteobacteria
OTU731	Actinobacteria
OTU732	Proteobacteria
OTU733	Chloroflexi
OTU734	Gemmatimonadetes
OTU735	Acidobacteria
OTU736	Chloroflexi
OTU737	Acidobacteria
OTU738	Acidobacteria
OTU739	Proteobacteria
OTU740	Proteobacteria
OTU741	Acidobacteria
OTU742	AD3
OTU743	Proteobacteria
OTU744	Firmicutes
OTU745	Gemmatimonadetes
OTU746	Proteobacteria
OTU747	Chloroflexi
OTU748	Proteobacteria
OTU749	Chloroflexi
OTU750	Chloroflexi
OTU751	Actinobacteria
OTU752	Chloroflexi
OTU753	Acidobacteria
OTU754	Chloroflexi
OTU755	Acidobacteria
OTU756	Acidobacteria
OTU757	Proteobacteria
OTU758	Actinobacteria
OTU759	Acidobacteria
OTU760	Chloroflexi
OTU761	TM7
OTU762	Actinobacteria
OTU763	Bacteroidetes
OTU764	Actinobacteria
OTU765	Firmicutes
OTU766	Proteobacteria
OTU767	Proteobacteria
OTU768	Proteobacteria
OTU769	Chloroflexi
OTU770	Actinobacteria
OTU771	Actinobacteria
OTU772	Verrucomicrobia
OTU773	Acidobacteria
OTU774	Actinobacteria
OTU775	Chloroflexi
OTU776	Acidobacteria
OTU777	Actinobacteria
OTU778	Proteobacteria
OTU779	Chloroflexi
OTU780	Bacteroidetes
OTU781	Proteobacteria
OTU782	Bacteroidetes
OTU783	Proteobacteria
OTU784	Proteobacteria
OTU785	Proteobacteria
OTU786	Chloroflexi
OTU787	Bacteroidetes
OTU788	Bacteroidetes
OTU789	Actinobacteria
OTU790	Actinobacteria
OTU791	Actinobacteria
OTU792	Actinobacteria
OTU793	Chloroflexi
OTU794	Actinobacteria
OTU795	Planctomycetes
OTU796	Actinobacteria
OTU797	Actinobacteria
OTU798	Bacteroidetes
OTU799	Proteobacteria
OTU800	Nitrospirae
OTU801	Proteobacteria
OTU802	Actinobacteria
OTU803	Actinobacteria
OTU804	Planctomycetes
OTU805	Proteobacteria
OTU806	Chloroflexi
OTU807	Actinobacteria
OTU808	Actinobacteria
OTU809	Actinobacteria
OTU810	Actinobacteria
OTU811	Proteobacteria
OTU812	Acidobacteria
OTU813	Proteobacteria
OTU814	Chloroflexi
OTU815	Chloroflexi
OTU816	Proteobacteria
OTU817	Proteobacteria
OTU818	Actinobacteria
OTU819	Proteobacteria
OTU820	Proteobacteria
OTU821	Actinobacteria
OTU822	Proteobacteria
OTU823	Acidobacteria
OTU824	Actinobacteria
OTU825	Actinobacteria
OTU826	Acidobacteria
OTU827	Chloroflexi
OTU828	Acidobacteria
OTU829	Actinobacteria
OTU830	Planctomycetes
OTU831	Planctomycetes
OTU832	Actinobacteria
OTU833	Chloroflexi
OTU834	Chloroflexi
OTU835	Actinobacteria
OTU836	Chloroflexi
OTU837	Verrucomicrobia
OTU838	Acidobacteria
OTU839	Proteobacteria
OTU840	TM7
OTU841	Proteobacteria
OTU842	Actinobacteria
OTU843	Actinobacteria
OTU844	Nitrospirae
OTU845	Chloroflexi
OTU846	Proteobacteria
OTU847	Planctomycetes
OTU848	Actinobacteria
OTU849	Planctomycetes
OTU850	Actinobacteria
OTU851	Proteobacteria
OTU852	Proteobacteria
OTU853	Proteobacteria
OTU854	Chloroflexi
OTU855	Actinobacteria
OTU856	Actinobacteria
OTU857	Chloroflexi
OTU858	Chloroflexi
OTU859	Proteobacteria
OTU860	Acidobacteria
OTU861	Chloroflexi
OTU862	Verrucomicrobia
OTU863	
OTU864	Proteobacteria
OTU865	Proteobacteria
OTU866	Proteobacteria
OTU867	Nitrospirae
OTU868	Firmicutes
OTU869	Proteobacteria
OTU870	Acidobacteria
OTU871	Proteobacteria
OTU872	Proteobacteria
OTU873	Bacteroidetes
OTU874	Actinobacteria
OTU875	Proteobacteria
OTU876	Acidobacteria
OTU877	Actinobacteria
OTU878	Proteobacteria
OTU879	Crenarchaeota
OTU880	Chloroflexi
OTU881	Verrucomicrobia
OTU882	Proteobacteria
OTU883	Proteobacteria
OTU884	Verrucomicrobia
OTU885	Actinobacteria
OTU886	Gemmatimonadetes
OTU887	Proteobacteria
OTU888	Proteobacteria
OTU889	Verrucomicrobia
OTU890	Actinobacteria
OTU891	Actinobacteria
OTU892	Proteobacteria
OTU893	Bacteroidetes
OTU894	Verrucomicrobia
OTU895	Actinobacteria
OTU896	Cyanobacteria
OTU897	Proteobacteria
OTU898	Actinobacteria
OTU899	OD1
OTU900	Nitrospirae
OTU901	Cyanobacteria
OTU902	Proteobacteria
OTU903	Chloroflexi
OTU904	Acidobacteria
OTU905	Acidobacteria
OTU906	Actinobacteria
OTU907	Acidobacteria
OTU908	Proteobacteria
OTU909	Cyanobacteria
OTU910	Planctomycetes
OTU911	Chloroflexi
OTU912	Proteobacteria
OTU913	Gemmatimonadetes
OTU914	Actinobacteria
OTU915	Actinobacteria
OTU916	Actinobacteria
OTU917	Chloroflexi
